# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,273,0:04.541.839,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,274,0:04.541.910,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,275,0:04.541.961,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,276,0:04.542.032,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 A8 06 79 06 72 00 00 00*
0,277,0:04.559.919,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,278,0:04.559.991,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,279,0:04.560.042,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,280,0:04.560.113,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 C5 06 9A 06 72 00 00 00*
0,281,0:04.576.545,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,282,0:04.576.616,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,283,0:04.576.667,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,284,0:04.576.739,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 E0 06 BC 06 72 00 00 00*
0,285,0:04.592.881,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,286,0:04.592.952,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,287,0:04.593.003,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,288,0:04.593.075,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 02 07 E4 06 72 00 00 00*
0,289,0:04.609.397,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,290,0:04.609.468,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,291,0:04.609.519,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,292,0:04.609.591,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 1F 07 03 07 72 00 00 00*
0,293,0:04.625.882,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,294,0:04.625.953,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,295,0:04.626.004,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,296,0:04.626.075,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 36 07 1F 07 72 00 00 00*
0,297,0:04.642.362,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,298,0:04.642.433,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,299,0:04.642.484,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,300,0:04.642.555,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 4F 07 3D 07 6D 00 00 00*
