# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,144,0:05.672.508,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 7E 02 AE 0E 5F 00 00 00*
0,145,0:05.688.813,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,146,0:05.688.885,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,147,0:05.688.936,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,148,0:05.689.007,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 90 02 9E 0E 5F 00 00 00*
0,149,0:05.705.331,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,150,0:05.705.402,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,151,0:05.705.453,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,152,0:05.705.524,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 A1 02 8F 0E 5F 00 00 00*
0,153,0:05.721.829,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,154,0:05.721.901,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,155,0:05.721.952,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,156,0:05.722.023,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 B0 02 80 0E 5F 00 00 00*
0,157,0:05.738.334,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,158,0:05.738.405,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,159,0:05.738.456,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,160,0:05.738.528,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 BF 02 71 0E 5F 00 00 00*
0,161,0:05.754.853,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,162,0:05.754.925,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,163,0:05.754.976,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,164,0:05.755.047,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 CF 02 5F 0E 5F 00 00 00*
0,165,0:05.771.437,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,166,0:05.771.508,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,167,0:05.771.559,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,168,0:05.771.631,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 E2 02 4A 0E 5F 00 00 00*
0,169,0:05.787.847,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,170,0:05.787.918,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,171,0:05.787.969,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,172,0:05.788.041,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 F4 02 37 0E 5F 00 00 00*
0,173,0:05.804.365,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,174,0:05.804.436,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,175,0:05.804.487,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,176,0:05.804.559,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 04 03 26 0E 64 00 00 00*
0,177,0:05.822.481,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,178,0:05.822.552,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,179,0:05.822.604,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,180,0:05.822.675,325.600 us,11 B,,SP,4B,Read Transaction,01 30 91 14 03 14 0E 64 00 00 00*
0,181,0:05.839.013,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,182,0:05.839.084,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,183,0:05.839.135,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,184,0:05.839.206,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 24 03 FF 0D 64 00 00 00*
0,185,0:05.855.530,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,186,0:05.855.602,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,187,0:05.855.653,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,188,0:05.855.724,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 35 03 EA 0D 5C 00 00 00*
0,189,0:05.872.031,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,190,0:05.872.102,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,191,0:05.872.153,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,192,0:05.872.225,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 48 03 D0 0D 5C 00 00 00*
0,193,0:05.888.524,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,194,0:05.888.595,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,195,0:05.888.646,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,196,0:05.888.718,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 5D 03 B4 0D 61 00 00 00*
0,197,0:05.905.006,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,198,0:05.905.077,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,199,0:05.905.128,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,200,0:05.905.200,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 6D 03 9E 0D 61 00 00 00*
0,201,0:05.921.506,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,202,0:05.921.578,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,203,0:05.921.629,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,204,0:05.921.700,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 7B 03 8A 0D 61 00 00 00*
0,205,0:05.938.008,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,206,0:05.938.079,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,207,0:05.938.130,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,208,0:05.938.202,324.500 us,11 B,,SP,4B,Read Transaction,01 30 91 88 03 77 0D 66 00 00 00*
0,209,0:05.954.604,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,210,0:05.954.675,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,211,0:05.954.726,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,212,0:05.954.798,325.600 us,11 B,,SP,4B,Read Transaction,01 30 91 95 03 64 0D 66 00 00 00*
0,213,0:05.971.028,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,214,0:05.971.100,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,215,0:05.971.151,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,216,0:05.971.222,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 A2 03 51 0D 66 00 00 00*
0,217,0:05.989.183,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,218,0:05.989.254,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,219,0:05.989.305,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,220,0:05.989.377,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 B1 03 3C 0D 66 00 00 00*
0,221,0:06.005.705,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,222,0:06.005.776,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,223,0:06.005.828,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,224,0:06.005.899,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 C1 03 27 0D 66 00 00 00*
0,225,0:06.022.207,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,226,0:06.022.278,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,227,0:06.022.329,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,228,0:06.022.401,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 D1 03 12 0D 66 00 00 00*
0,229,0:06.038.707,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,230,0:06.038.779,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,231,0:06.038.830,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,232,0:06.038.901,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 DF 03 FF 0C 66 00 00 00*
0,233,0:06.055.208,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,234,0:06.055.280,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,235,0:06.055.331,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,236,0:06.055.402,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 EC 03 EC 0C 6B 00 00 00*
0,237,0:06.071.696,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,238,0:06.071.767,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,239,0:06.071.819,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,240,0:06.071.890,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 F8 03 D9 0C 6B 00 00 00*
0,241,0:06.088.200,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,242,0:06.088.271,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,243,0:06.088.322,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,244,0:06.088.394,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 03 04 C7 0C 6B 00 00 00*
0,245,0:06.104.702,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,246,0:06.104.774,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,247,0:06.104.825,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,248,0:06.104.896,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 0E 04 B7 0C 6B 00 00 00*
0,249,0:06.121.205,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,250,0:06.121.277,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,251,0:06.121.328,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,252,0:06.121.399,324.100 us,11 B,,SP,4B,Read Transaction,01 30 91 18 04 A7 0C 6B 00 00 00*
0,253,0:06.137.701,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,254,0:06.137.772,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,255,0:06.137.823,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,256,0:06.137.894,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 23 04 97 0C 6B 00 00 00*
0,257,0:06.155.862,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,258,0:06.155.933,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,259,0:06.155.984,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,260,0:06.156.055,324.000 us,11 B,,SP,4B,Read Transaction,01 30 91 2F 04 87 0C 6B 00 00 00*
0,261,0:06.172.325,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,262,0:06.172.397,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,263,0:06.172.448,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,264,0:06.172.519,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 3A 04 77 0C 6B 00 00 00*
0,265,0:06.188.811,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,266,0:06.188.883,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,267,0:06.188.934,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,268,0:06.189.005,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 46 04 67 0C 6B 00 00 00*
0,269,0:06.205.313,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,270,0:06.205.384,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,271,0:06.205.435,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,272,0:06.205.507,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 51 04 57 0C 6B 00 00 00*
0,273,0:06.221.817,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,274,0:06.221.888,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,275,0:06.221.939,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,276,0:06.222.011,324.200 us,11 B,,SP,4B,Read Transaction,01 30 91 5B 04 46 0C 6B 00 00 00*
0,277,0:06.238.324,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,278,0:06.238.396,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,279,0:06.238.447,70.100 us,2 B,,SP,4B,Write Transaction,82 01
